0.3	135.83387	491.01893
0.32	126.24433	468.02597
0.34	117.1092	445.57827
0.36	108.41756	423.67649
0.38	100.1585	402.3214
0.4	92.321057	381.51387
0.42	84.894285	361.25487
0.44	77.867198	341.54548
0.46	71.228794	322.38682
0.48	64.968046	303.78003
0.5	59.073906	285.72624
0.52	53.535303	268.22644
0.54	48.341149	251.28149
0.56	43.480341	234.89195
0.58	38.941767	219.05802
0.6	34.714317	203.77942
0.62	30.786893	189.05529
0.64	27.148419	174.8841
0.66	23.787858	161.2636
0.68	20.694225	148.19073
0.7	17.856603	135.66168
0.72	15.264162	123.67188
0.74	12.906168	112.2161
0.76	10.771996	101.28862
0.78	8.851141	90.883409
0.8	7.1332184	80.994384
0.82	5.6079636	71.615686
0.84	4.2652245	62.741993
0.86	3.0949473	54.368835
0.88	2.0871566	46.492894
0.9	1.2319298	39.112269
0.92	0.51936595	32.226687
0.94	-0.060447536	25.837635
0.96	-0.51747123	19.948406
0.98	-0.86174924	14.564048
1.	-1.103443	9.6912084
1.02	-1.2528608	5.3378905
1.04	-1.3204821	1.513122
1.06	-1.3169737	-1.7734365
1.08	-1.2531985	-4.5119246
1.1	-1.1402148	-6.6927261
1.12	-0.98926722	-8.3068988
1.14	-0.81176922	-9.3465619
1.16	-0.61927849	-9.8052174
1.18	-0.42346682	-9.6779883
1.2	-0.23549213	-9.0783885
1.22	-0.061619316	-8.2771255
1.24	0.094325397	-7.2857923
1.26	0.22855861	-6.1064416
1.28	0.33735234	-4.7425196
1.3	0.4170592	-3.1985955
1.32	0.46413196	-1.4800588
1.34	0.47658831	0.18670185
1.36	0.45859455	1.5639005
1.38	0.41600307	2.6454933
1.4	0.35478352	3.4257983
1.42	0.28101428	3.8996544
1.44	0.2008705	4.0625626
1.46	0.12060149	3.9167753
1.48	0.044961321	3.6390312
1.5	-0.024624802	3.3110689
1.52	-0.087136809	2.9314347
1.54	-0.14153229	2.4993337
1.56	-0.18675876	2.0145382
1.58	-0.22176402	1.4772858
1.6	-0.24554156	0.90099975
1.62	-0.2582878	0.38784895
1.64	-0.26162809	-0.039413796
1.66	-0.2572913	-0.37966759
1.68	-0.24702909	-0.6317662
1.7	-0.23261584	-0.79458939
1.72	-0.21584775	-0.86708057
1.74	-0.19844344	-0.87057508
1.76	-0.18096642	-0.87886219
1.78	-0.16322195	-0.89720379
1.8	-0.14501556	-0.92495458
1.82	-0.12616467	-0.96157269
1.84	-0.10649654	-1.006611
1.86	-0.085846534	-1.0597064
1.88	-0.064073008	-1.1177642
1.9	-0.041133767	-1.1761979
1.92	-0.017024113	-1.2347797
1.94	0.0082574944	-1.2933737
1.96	0.034710224	-1.3518772
1.98	0.062331465	-1.4102138
2.	0.091117251	-1.4682818
2.02	0.12102624	-1.5212184
2.04	0.15190994	-1.5657481
2.06	0.18359998	-1.6018503
2.08	0.21592767	-1.6295102
2.1	0.24872404	-1.6487176
2.12	0.28181997	-1.6594656
2.14	0.31503877	-1.6583458
2.16	0.34774142	-1.6000267
2.18	0.37856411	-1.4703483
2.2	0.40607962	-1.2693093
2.22	0.42886074	-0.9969088
2.24	0.44548023	-0.65314617
2.26	0.45451084	-0.23802109
2.28	0.45461361	0.22449603
2.3	0.44605535	0.6170487
2.32	0.43050293	0.92391162
2.34	0.40967015	1.1450849
2.36	0.3852708	1.2805684
2.38	0.35901867	1.3303624
2.4	0.33262757	1.2944667
2.42	0.30766721	1.2007223
2.44	0.28455721	1.1114009
2.46	0.26316625	1.028818
2.48	0.24335956	0.95297348
2.5	0.22500239	0.88386739
2.52	0.20795995	0.82149972
2.54	0.19209748	0.76587048
2.56	0.17727835	0.71725847
2.58	0.16335849	0.6759427
2.6	0.150192	0.64192316
2.62	0.13763293	0.61519985
2.64	0.12553536	0.59577277
2.66	0.11375337	0.58364193
2.68	0.10214147	0.57851969
2.7	0.090622747	0.57264939
2.72	0.079263628	0.56255919
2.74	0.068148512	0.54824909
2.76	0.057361797	0.5297191
2.78	0.046987881	0.50696921
2.8	0.037111161	0.47999942
2.82	0.027819947	0.44749761
2.84	0.019319544	0.39965042
2.86	0.011949621	0.33444964
2.88	0.0060572492	0.25189526
2.9	0.001989501	0.15198729
2.92	0.000093448076	0.034725736
